---,StarNameFString,CatalogFString,StarNumberInt,RightAscenstion,Declination,ProperMotionInRightAscension,ProperMotionInDeclination,Parallax,RadialVelocity,OptionalVisualMagnitude
HR3775,25The UMa,BSC,0,143.2142,51.6772,-0.954,-0.531,0.052,15,3.17
HR6396,22Zet Dra,BSC,0,257.1967,65.7147,-0.02,0.022,0.023,-17,3.17
HR5463,Alp Cir,BSC,0,220.6267,-64.9753,-0.192,-0.232,0.056,7,3.19
HR1654,2Eps Lep,BSC,0,76.3654,-22.3711,0.025,-0.074,0.011,1,3.19
HR1543,1Pi 3Ori,BSC,0,72.46,6.9614,0.466,0.012,0.125,24,3.19
HR6299,27Kap Oph,BSC,0,254.4171,9.375,-0.291,-0.01,0.031,-56,3.2
HR8115,64Zet Cyg,BSC,0,318.2342,30.2269,0.001,-0.056,0.027,17,3.2
HR6630,,BSC,0,267.4646,-37.0433,0.049,0.033,0.04,25,3.21
HR8974,35Gam Cep,BSC,0,354.8367,77.6325,-0.067,0.151,0.064,-42,3.21
HR5695,Del Lup,BSC,0,230.3429,-40.6475,-0.015,-0.026,,0,3.22
HR7710,65The Aql,BSC,0,302.8263,-0.8214,0.038,0.004,0.012,-27,3.23
HR8238,8Bet Cep,BSC,0,322.165,70.5608,0.01,0.007,0.014,-8,3.23
HR1208,Gam Hyi,BSC,0,56.8096,-74.2389,0.047,0.114,0.005,16,3.24
HR897,The1Eri,BSC,0,44.5654,-40.3047,-0.045,0.019,0.035,12,3.24
HR6075,2Eps Oph,BSC,0,244.5804,-4.6925,0.085,0.041,0.043,-10,3.24
HR7178,14Gam Lyr,BSC,0,284.7358,32.6894,-0.002,0.002,0.021,-21,3.24
HR2878,Sig Pup,BSC,0,112.3075,-43.3014,-0.055,0.187,0.02,88,3.25
HR6869,58Eta Ser,BSC,0,275.3275,-2.8989,-0.547,-0.7,0.058,9,3.26
HR2550,Alp Pic,BSC,0,102.0475,-61.9414,-0.069,0.269,0.052,21,3.27
HR1465,Alp Dor,BSC,0,68.4992,-55.045,0.051,-0.003,0.018,26,3.27
HR5287,49Pi  Hya,BSC,0,211.5929,-26.6825,0.044,-0.139,0.049,27,3.27
HR6453,42The Oph,BSC,0,260.5025,-24.9994,-0.004,-0.02,,-2,3.27
HR8709,76Del Aqr,BSC,0,343.6625,-15.8208,-0.04,-0.025,0.038,18,3.27
HR165,31Del And,BSC,0,9.8321,30.8608,0.136,-0.091,0.028,-7,3.27
HR2216,7Eta Gem,BSC,0,93.7192,22.5067,-0.068,-0.012,0.014,19,3.28
HR5603,20Sig Lib,BSC,0,226.0175,-25.2819,-0.073,-0.043,0.064,-4,3.29
HR5744,12Iot Dra,BSC,0,231.2325,58.9661,-0.009,0.017,0.04,-11,3.29
HR322,Bet Phe,BSC,0,16.5208,-46.7186,-0.027,-0.001,0.021,-1,3.31
